actor_name,no_of_fb_likes,total_profit,total_imdb_score
Karl E. Landler,533.0,0.013167857142857143,5.8
Julian Sands,687.0,2.6027832483120874,6.35
J.K. Simmons,24000.0,2.6691149033059283,6.674193548387096
Shannon Elizabeth,1000.0,3.132461390599876,5.771428571428571
Marshall Bell,217.0,5.96163352736014,7.125
Ty Burrell,3000.0,1.046098484993576,6.833333333333333
Bella Heathcote,860.0,0.19322141666666667,5.766666666666667
Joe Egan,53.0,0.0,3.1
Jake Gyllenhaal,15000.0,1.550658112630315,6.955000000000001
William McNamara,10000.0,0.4006489625,4.85
Gina Montana,458.0,7.102442777777778,7.3
Rai Alexandra,0.0,0.0,5.8
Deon Richmond,209.0,0.0,5.2
Lee Evans,312.0,0.26962167073170734,5.800000000000001
Andrew Wilson,387.0,0.13906244,6.0
Wayne Pygram,163.0,0.25525945454545457,5.1
Roschdy Zem,59.0,0.004128,6.9
Richard Masur,163.0,0.9188558666666666,8.2
Vanessa Ray,270.0,1.1299262142857143,5.7
Diahann Carroll,426.0,1.0379585412698413,5.766666666666667
Garrett M. Brown,325.0,0.063874,5.7
Meat Loaf,783.0,0.2006809592063492,6.3
Frances Bay,491.0,1.6093333333333333,6.3
Marcus Chong,145.0,2.7203690952380954,8.7
Val Kilmer,0.0,0.24961778571428572,5.7
Nicki Aycox,296.0,1.3833212950980394,5.75
Alona Tal,1000.0,0.6423936637362637,5.4
Benoît Poelvoorde,86.0,0.31441456510550697,6.7
Jaime Zevallos,228.0,0.0,7.6
Pat Buchanan,2.0,0.0,8.3
Robbie Barnes,720.0,0.0,3.0
Ray McKinnon,287.0,2.3058181818181818,5.8
Eric Lange,274.0,0.4957533333333333,6.0
Bob Saget,799.0,0.4672788,4.8
Ji-won Ha,80.0,0.0,5.7
Nicole Randall Johnson,363.0,0.0,6.2
Ellen Barkin,551.1428571428571,1.2937271813868612,6.885714285714286
Dylan Kussman,35.0,0.7115124705882353,6.7
Déborah Révy,34.0,0.0,5.6
Rijk de Gooyer,20.0,0.0,7.0
Rie Rasmussen,115.0,0.1883458,6.3
Betsy Palmer,309.0,15.28,6.1
Aryana Engineer,602.0,0.0,7.0
Pawel Szajda,104.0,0.0,6.4
Teresa Wright,208.0,5.630952380952381,7.699999999999999
Leon Rippy,229.0,0.8359645666666666,6.6
Laura Harris,345.0,0.0136432,6.949999999999999
Lauren Sweetser,179.0,3.2657455,7.2
Robert Clohessy,107.0,0.5082732851851852,7.133333333333333
Morgan Fairchild,730.0,0.20109975,4.9
Alessandra Mastronardi,159.0,0.9814324705882352,6.3
Joely Richardson,584.4,0.48537659058823535,6.6
Annie Parisse,341.0,1.2860186766666666,6.300000000000001
Bruce Hopkins,46.0,0.0,6.8
Cullen Douglas,256.0,0.0,4.8
Steve Railsback,246.0,0.0,6.1
Kenneth Mars,399.0,17.051483333333334,8.1
Jordi Mollà,877.0,0.6217925270402208,6.444444444444444
Joseph Pilato,83.0,0.0,7.2
Meredith Hagner,150.0,0.06248,5.5
David Heyman,51.0,1.3808356666666666,4.4
Nina Arianda,183.0,1.671078294117647,7.4
Woo-hee Chun,0.0,0.0,7.7
Royce Johnson,4.0,0.0,8.8
Al Sapienza,238.0,0.0,3.5
Keri Maletto,569.0,0.0,4.3
Waris Ahluwalia,110.0,0.5004648,7.0
Joey Lawrence,786.0,1.5334862142857142,4.1
Tom Ardavany,184.0,8.946116666666667,5.3
Gary Daniels,551.0,0.0,2.8
David Keith,563.0,1.3257044498049757,5.983333333333333
Matthew McConaughey,11000.0,1.9331320658742643,6.7423076923076914
Krystyna Janda,20.0,0.0,9.1
Sarah Callan,0.0,0.042398,6.8
Peter Marquardt,20.0,291.56,6.9
Conrad Vernon,48.0,2.9098069066666667,7.2
Mathew Buck,5.0,0.0,7.2
Paul Elia,709.0,0.0,5.4
Cynthia Rhodes,174.0,23.725,6.1
Tim Rice,27.0,0.0,7.4
Bruno Ganz,653.0,0.4075511111111111,8.3
Katrina Kaif,3000.0,0.2111185851252494,7.1
Mihalis Giannatos,58.0,0.4478683333333333,5.9
Zak Penn,87.0,0.02630714285714286,6.6
Kevin Clash,436.0,0.6843798823529412,5.8
Melina Kanakaredes,394.0,0.5127392461538461,6.7
Elizabeth Perkins,664.0,1.437625280900086,5.616666666666666
Ari Folman,56.0,1.522184,8.0
Nat Wolff,733.0,4.357191694444444,6.833333333333333
Rosalind Harris,51.0,5.555555555555555,8.0
