director_name,no_of_fb_likes,total_profit,total_imdb_score
Gary Trousdale,21.0,0.8507423441666667,6.85
Dwight H. Little,27.0,2.40732786,5.25
Simon Curtis,64.0,2.654287583806818,7.15
Jean-Marie Poiré,8.0,0.04482284880952381,6.266666666666667
Walter Lang,9.0,0.0,6.8
Mimi Leder,75.0,1.1785455255555555,6.3999999999999995
Richard Donner,503.0,1.0078104761523197,6.824999999999999
Mikael Salomon,13.0,0.28313562857142854,5.8
René Féret,0.0,0.0,6.4
Stefan Ruzowitzky,24.0,0.002358044761904762,5.633333333333333
Michael Polish,35.0,0.9008613663157895,5.78
Jim Amatulli,0.0,0.0,4.5
David Lean,767.0,5.3183030303030305,8.0
Robert Redford,0.0,2.3582288558095237,6.839999999999999
Bob Odenkirk,0.0,0.0450463,5.65
Stanley Kubrick,0.0,0.7974636034798535,8.0
Lisanne Pajot,0.0,0.0,7.7
Sergio Leone,0.0,5.6899999999999995,8.475
Giuseppe Tornatore,911.0,0.0063283703703703705,7.8
Steven Seagal,0.0,0.77181,4.4
Dan Reed,3.0,0.0,5.6
Malcolm D. Lee,92.0,1.7524960768774174,5.785714285714286
Scott Ziehl,4.0,0.022488333333333332,6.6
Taylor Hackford,138.0,0.6818465702186557,6.883333333333333
Jonathan Jakubowicz,23.0,0.0,7.2
Christopher Nolan,22000.0,1.8297805630491395,8.425
Cathy Malkasian,0.0,1.59521904,5.2
Phil Alden Robinson,31.0,1.742225294117647,6.4
Susanne Bier,369.0,0.178071375,7.2
John Crowley,34.0,3.4834122727272727,7.5
Bruce Macdonald,103.0,0.0,4.7
Myles Berkowitz,0.0,8.946116666666667,5.3
Wade Gasque,0.0,0.0,6.8
Dean DeBlois,255.0,1.4534389343564957,7.766666666666667
Christian E. Christiansen,26.0,2.3312566875,4.8
Neema Barnette,21.0,0.486694,5.3
John Eng,0.0,1.57599,5.6
Ash Brannon,9.0,0.58867694,6.8
Marc F. Adler,0.0,0.012798,4.4
Kenneth Lonergan,50.0,3.826775119047619,7.1
Hong-jin Na,43.0,0.0,7.7
Scott Stewart,124.0,1.0152682935897435,5.45
Risa Bramon Garcia,112.0,1.1419393333333334,5.9
Roger Michell,50.0,1.6737052857142858,6.666666666666667
Fernando Meirelles,353.0,1.550855277171717,7.599999999999999
Adrienne Shelly,191.0,9.5338155,7.1
Clark Johnson,69.0,1.0313478291666667,6.05
Alex Gibney,141.0,0.274661,7.7
John Michael McDonagh,51.0,0.8932956666666667,7.3
Shekar,0.0,0.0,7.1
Nathan Greno,15.0,0.772335623076923,7.8
Yuefeng Song,0.0,0.0,6.4
Cody Cameron,18.0,1.5358149615384615,6.5
Claudia Llosa,43.0,0.006620125,5.3
William Eubank,18.0,0.0,6.1
Gérard Krawczyk,7.0,0.005328431372549019,6.6
Matthew R. Anderson,252.0,0.0,3.0
Christian Duguay,18.0,0.4379384125,5.1
Zach Braff,0.0,5.6553806,7.15
Breck Eisner,42.0,0.9290481056980058,6.166666666666667
Daniel Myrick,19.0,2342.1685666666667,6.4
Brian Caunter,0.0,0.0,6.2
Michael Taliferro,105.0,0.0,3.4
Rodman Flender,6.0,0.20014775,6.2
Nnegest Likké,18.0,2.353179,3.0
Bob Clark,84.0,7.0845881777777775,4.675000000000001
Timothy Hines,0.0,0.001218,7.5
Peter Kosminsky,7.0,1.021632625,7.2
Daniel Petrie Jr.,19.0,0.0,4.8
Brian Helgeland,241.0,1.0263954794588395,6.720000000000001
Jean-Pierre Jeunet,0.0,0.24975666289930717,7.340000000000001
Genndy Tartakovsky,266.0,1.9330082691176471,6.9
Rohan Sippy,4.0,0.0,6.2
Noah Buschel,8.0,0.01172,6.2
